"species","family","genus","specificEpithet","subspecies","commonname","acceptedScientificName","commonCountries"
"Abarema cochliocarpos","Fabaceae","Abarema","cochliocarpum; cochliocarpos","","; NA","Abarema cochliocarpos (Gomes) Barneby & J.W.Grimes","BR; MZ"
"Abarema levelii","Fabaceae","Abarema","levelii","","NA; ","Abarema levelii (R.S.Cowan) Barneby & J.W.Grimes","VE; BR"
"Abatia mexicana","Salicaceae","Abatia","mexicana","","; NA","Abatia mexicana Standl.","MX"
"Abatia parviflora","Salicaceae","Abatia","parviflora; verbascifolia; borealis","","; NA; Ortigo; Duraznillo; Velitas; Velitas | Duraznillo; velitas; belitas; duraznillo; Velillo; Chirlobirlo","Abatia parviflora Ruiz & Pav.","; CO; EC; PE; CR; VE"
"Abatia rugosa","Salicaceae","Abatia","rugosa","","","Abatia rugosa Ruiz & Pav.","PE; CO; "
"Abatia spicata","Salicaceae","Abatia","spicata; macrostachya","","","Abatia spicata (Turcz.) Sleumer","PE; "
"Abies alba","Pinaceae; PINACEAE","Abies","alba; pectinata; pardei; nobilis; excelsa; picea","; alba; pyramidalis; NA","; European Silver-fir; silvergran; Gewone zilverspar; Sapin pectiné; Almindelig ædelgran; Silver fir or European silver fir; edelgran; 8EB0 15;0O; Gewone zilverspar | Silver Fir | Sapin pectiné | Weisstanne | Almindelig ædelgran; Edelgran; Almindelig Ædelgran; èüíÃÑâß; silver fir, european silver fir; European Silver Fir; almindelig ædelgran; bm: Edelgran; European Silver-fir, in French: Sapin pectine; NA","Abies alba Mill.; NA","NO; FR; CH; DE; ME; IT; PL; CZ; SI; HR; AT; ES; NL; UA; BE; PT; RO; RS; BA; SK; SE; HU; AD; DK; GB; BG; LU; BY; RU; FI; US; MK; IM; IE; GR; TR; LI; CL; EE; LT; AX; NZ; NP; JP; LV; AM; TZ; MD; XK; Polônia; Moldavia; Suíça; Portugal"
"Abies amabilis","Pinaceae; PINACEAE","Abies","amabilis","; NA","; Beautiful Silver-Fir; PURPURGRAN; Pacific silver fir; Pacific silver fir | sapin gracieux | amabilis fir | silver fir; NA","Abies amabilis Douglas ex J.Forbes; NA","US; CA; GB; NO; PL; BE; SE; DE; FI; NZ; EE; United States; E.U.A."
"Abies balsamea","Pinaceae; PINACEAE","Abies","balsamea; phanerolepis; balsamifera","; phanerolepis; balsamea; NA","; balsamgran; balsam fir; BALSAMGRAN; Balsam Fir; canadian yew; fir; FIR, BALSAM; Ðëµàâß; 8EB0; balsam fir, sapin baumier, Canada balsam, sapin; balsam fir | sapin baumier; Balsam (Balsam Fir); Balsam fir; pines; tracheophytes; plants; NA","Abies balsamea (L.) Mill.; Abies balsamea var. phanerolepis Fernald; Abies balsamea var. balsamea; NA","US; CA; PM; FI; AT; SE; PL; NO; BE; EE; RU; IE; NZ; DE; CN; NL; JP; LV; IT; HU; ID; GB; FR; United States; Estados Unidos; E.U.A.; França; Canadá; Itália"
"Abies beshanzuensis","Pinaceae","Abies","beshanzuensis","","","Abies beshanzuensis M.H.Wu","CN"
"Abies bracteata","Pinaceae","Abies","bracteata; venusta","","; Bristlecone Fir; bristlecone fir;Santa Lucia fir;silver fir","Abies bracteata (D.Don) A.Poit.","US; NZ; BE; FR; IE"
"Abies cephalonica","Pinaceae; PINACEAE","Abies","cephalonica; alba; apollinis; panachaica; reginae-amaliae","; cephalonica; NA","; Greek Fir; grekgran; Grecian Fir; Griekse zilverspar; NA","Abies cephalonica Loudon; Abies cephalonica Link, 1842; NA","GR; NL; FR; IT; RU; US; SE; PL; GB; UA; NO; BE; DE; AL; DK; HU; NZ; LV; ES; MK; LU; NA"
"Abies chensiensis","Pinaceae","Abies","ernestii; chensiensis; salouenensis; recurvata","salouenensis; ; yulongxueshanensis; chensiensis","","Abies chensiensis subsp. salouenensis (Bordères & Gaussen) Rushforth; Abies chensiensis Tiegh.; Abies chensiensis subsp. yulongxueshanensis Rushforth; Abies chensiensis var. chensiensis; Abies chensiensis subsp. chensiensis","CN; BE; CA; FR; NZ; TW; RU; ZZ; US"
"Abies cilicica","Pinaceae","Abies","cilicica","; cilicica; isaurica","; Cilician Fir; turkgran; 8EB0","Abies cilicica (Antoine & Kotschy) Carrière; Abies cilicica subsp. cilicica; Abies cilicica subsp. isaurica Coode & Cullen","SY; FR; GB; RU; SE; US; TR; LB; CY; BE; LV; DE; HU; NL; ES"
